date,actual,n_train,Naive: last value,Naive: 3m avg,Naive: 12m avg,OLS,Ridge(1.0),Ridge(10),ElasticNetCV,"RF(300,d6)","GBM(200,d3)","XGB(300,d4)"
2016-06-01,247.0,76,46.0,164.66666666666666,196.83333333333334,-59.24285440291945,53.814298849868834,62.49415278286659,130.11103798699966,170.9243413844745,133.41808541995894,157.80023
2016-07-01,373.0,77,247.0,161.66666666666666,203.16666666666666,287.5463138030483,310.56758151463475,251.9741567340949,213.84221967887422,224.59407873820462,269.35773747546205,226.12108
2016-08-01,141.0,78,373.0,222.0,210.75,248.59785967966957,235.22779140852143,225.8220092349302,226.41019377148615,239.06211854963786,199.7942240517171,191.81334
2016-09-01,306.0,79,141.0,253.66666666666666,211.33333333333334,129.08900897213732,157.3392362657588,168.95009733013688,206.52712839443748,234.23780023053715,239.99750251813708,223.87997
2016-10-01,98.0,80,306.0,273.3333333333333,224.33333333333334,204.51029739210804,228.23310018791003,223.8645460734345,225.8978462604059,157.64424727648165,80.23982283494605,165.45552
2016-11-01,118.0,81,98.0,181.66666666666666,207.16666666666666,105.51718315266777,304.2967424436689,304.3190890730459,238.41824733183353,251.009090344761,284.0690242814704,258.54807
2016-12-01,225.0,82,118.0,174.0,197.91666666666666,-198.82406637764205,-6.62128387287305,140.72202227195282,207.49080373163756,192.8235181173515,198.72712074177008,169.85335
2017-01-01,220.0,83,225.0,147.0,194.25,143.33537022577644,192.51184744697525,238.97671214517544,227.9377312288646,212.9989600834903,170.75554679719124,244.53493
2017-02-01,218.0,84,220.0,187.66666666666666,201.5,306.0494340117885,302.44016830596144,294.2748604918855,234.03911877988614,203.76042459464395,254.7308006864576,233.32495
2017-03-01,124.0,85,218.0,221.0,203.33333333333334,462.01524684977176,334.92841911587243,273.9811557660172,227.5203509336205,197.85518489493296,260.48139204748577,219.02196
2017-04-01,205.0,86,124.0,187.33333333333334,192.33333333333334,255.62458861449932,199.6645456834808,218.2357393552972,209.09549975746756,233.72279250672597,258.03332183560053,242.96887
2017-05-01,205.0,87,205.0,182.33333333333334,193.41666666666666,134.6294988379602,137.14536731411442,178.35669510076065,210.80066811896594,196.92098437762246,223.69493113532442,214.34897
2017-06-01,203.0,88,205.0,178.0,206.66666666666666,-39.48906897364705,6.875822443477375,127.01282593957791,209.9498275497222,217.28427431904038,206.05592867369344,202.75104
2017-07-01,189.0,89,203.0,204.33333333333334,203.0,179.59827463887663,114.4312278542547,152.1970583774009,210.2486691370288,195.26190328675415,197.05568972495792,195.32724
2017-08-01,147.0,90,189.0,199.0,187.66666666666666,158.94414913566226,138.0271576882871,152.87124996856184,205.59334550904524,208.82190110142,225.65557437582515,224.99857
2017-09-01,89.0,91,147.0,179.66666666666666,188.16666666666666,250.03155785741902,261.54618233266433,258.70759576524745,209.4576994330782,215.63571701892045,176.87836780063674,235.39426
2017-10-01,141.0,92,89.0,141.66666666666666,170.08333333333334,67.79216695493601,94.5935942482161,143.43129882235885,195.75484004209613,181.36785178453732,124.82335510925574,156.23654
2017-11-01,223.0,93,141.0,125.66666666666667,173.66666666666666,167.94138491298028,195.8109098882315,186.46293352059473,195.74392227130653,193.4186981824237,198.1975127349127,176.04762
2017-12-01,151.0,94,223.0,151.0,182.41666666666666,212.34282366749505,236.31144037373565,253.30655904894203,206.42086024591052,219.92089779170905,220.0469934655506,251.97649
2018-01-01,137.0,95,151.0,171.66666666666666,176.25,189.55707313231812,70.32473224349197,128.4876235316994,197.38075808356834,201.59658372918062,240.2247005895074,204.63094
2018-02-01,394.0,96,137.0,170.33333333333334,169.33333333333334,76.34971925966515,106.27911417923235,147.3679193038313,192.79086202946476,184.91258580834284,176.0215832183767,189.89998
2018-03-01,226.0,97,394.0,227.33333333333334,184.0,187.10693000303866,155.37756477007292,190.24862381500384,202.77715474646294,225.69265742633502,216.07357498735266,216.50784
2018-04-01,140.0,98,226.0,252.33333333333334,192.5,131.00665180080986,107.69993345072135,161.48256603685633,205.00259804920745,229.98593580597998,207.95518868762926,200.94998
2018-05-01,322.0,99,140.0,253.33333333333334,187.08333333333334,160.3053844737583,99.42619574954261,134.90066288734766,195.2676311567785,206.1010796659494,185.70875190091664,163.9293
2018-06-01,218.0,100,322.0,229.33333333333334,196.83333333333334,351.2089939804458,267.0369971735239,253.6016337755836,209.37999974112807,220.59276165517818,183.06835398797222,214.62854
2018-07-01,60.0,101,218.0,226.66666666666666,198.08333333333334,320.115484079408,231.99246126173966,205.6595826456668,208.13400559825203,241.19029439621764,260.7191414248313,198.62177
2018-08-01,257.0,102,60.0,200.0,187.33333333333334,162.73910486878822,153.39282256948815,149.91487944506747,198.50807257946235,231.74728372674056,202.6974688955696,181.03676
2018-09-01,81.0,103,257.0,178.33333333333334,196.5,138.4171557464877,161.28751459333148,191.03869548822883,203.69151964077884,239.06114793043045,205.05630775784746,192.05771
2018-10-01,169.0,104,81.0,132.66666666666666,195.83333333333334,28.690205929052468,25.349789479656124,90.27891397655989,194.0753110331529,191.58723761210993,136.7260083348542,166.70001
2018-11-01,90.0,105,169.0,169.0,198.16666666666666,89.79678910917157,98.6966389465448,134.91468922150736,195.01504467367272,196.8062079656478,181.777711414811,189.91864
2018-12-01,192.0,106,90.0,113.33333333333333,187.08333333333334,21.692605913673788,57.47879039585973,87.34261758383785,188.73432519123259,172.04205839624413,144.12715073641053,165.37991
2019-01-01,251.0,107,192.0,150.33333333333334,190.5,88.48265824820224,66.93516629263839,89.94046387182782,189.957054325278,199.32992204448294,185.0847333682131,191.53773
2019-02-01,7.0,108,251.0,177.66666666666666,200.0,154.55050495558936,121.83282836088055,137.3106795482903,195.0537582706519,204.82977468375296,211.06894643697913,199.52272
2019-03-01,228.0,109,7.0,150.0,167.75,-8.551830171091126,32.65081375569804,50.30903222767006,186.3432314344911,162.56906493759192,132.0231037860396,158.01231
2019-04-01,296.0,110,228.0,162.0,167.91666666666666,304.7749897153024,219.65582834900727,178.26034175342554,187.9629350104455,162.97427192722432,175.52192302681289,197.67586
2019-05-01,27.0,111,296.0,177.0,180.91666666666666,295.3136210553922,254.63280583014347,207.01707740531063,190.5718911018395,170.1743139407384,184.77920015350495,171.7808
2019-06-01,220.0,112,27.0,183.66666666666666,156.33333333333334,141.9733758956267,85.62099287745106,107.99545582168386,185.85714285714286,191.40436110776494,195.82529409817408,177.9909
2019-07-01,99.0,113,220.0,181.0,156.5,253.09569278936783,165.7479872241125,145.609003976866,187.26869666842592,139.33687374840028,182.04268971572105,148.241
2019-08-01,232.0,114,99.0,115.33333333333333,159.75,283.6997684531395,302.1908442269925,248.465136596652,185.90244019040588,151.58636357829275,141.8446390952006,142.44028
2019-09-01,196.0,115,232.0,183.66666666666666,157.66666666666666,213.19870745922168,182.94471139525365,160.98736004326915,186.7144664712217,164.69560791310198,170.51501560859114,189.58177
2019-10-01,95.0,116,196.0,175.66666666666666,167.25,152.0283920583516,194.6214294338674,164.6056914937816,187.3052658631063,178.8364153695952,172.24700860396905,201.73775
2019-11-01,207.0,117,95.0,174.33333333333334,161.08333333333334,-5.86205135045563,113.5232592005931,140.31851155810244,185.11111111111111,179.0782607994282,194.40552282128903,178.09673
2019-12-01,127.0,118,207.0,166.0,170.83333333333334,126.11159580131607,151.74474956619804,156.1725216486004,185.65101242419126,176.60681044262373,132.89230901406847,177.62134
2020-01-01,237.0,119,127.0,143.0,165.41666666666666,206.37673610454098,238.0892395759821,229.62998523816532,184.7360584232152,177.30932788614632,128.31126967206015,144.69768
2020-02-01,262.0,120,237.0,190.33333333333334,164.25,240.9912785463128,235.2584288310808,217.51212501312025,185.38898782334817,188.17689147205016,178.16564788491436,176.16861
2020-03-01,-1398.0,121,262.0,208.66666666666666,185.5,-407.7039332259343,970.8646906658241,1653.4771458225416,185.87603305785123,139.4894131506994,197.80514909317128,203.47667
2020-04-01,-20469.0,121,262.0,208.66666666666666,185.5,-20021.17982786957,-15294.343429374068,-9296.654924729975,185.87603305785123,146.88127409786065,249.93574447780404,266.81607
